singular,plural,merged
political party,political parties,political party(ies)
clearly indicate,clearly indicates,clearly indicate(s)
winning solution,winning solutions,winning solution(s)
bimodal distribution,bimodal distributions,bimodal distribution(s)
secret sharing scheme,secret sharing schemes,secret sharing scheme(s)
ldpc code,ldpc codes,ldpc code(s)
empirical validation,empirical validations,empirical validation(s)
dark cloud,dark clouds,dark cloud(s)
kitaev spin liquid,kitaev spin liquids,kitaev spin liquid(s)
spinor bose einstein condensate,spinor bose einstein condensates,spinor bose einstein condensate(s)
escape velocity,escape velocities,escape velocity(ies)
uv completion,uv completions,uv completion(s)
viscosity ratio,viscosity ratios,viscosity ratio(s)
distributional semantic,distributional semantics,distributional semantic(s)
virtual photon,virtual photons,virtual photon(s)
velocity diagram,velocity diagrams,velocity diagram(s)
bit error rate,bit error rates,bit error rate(s)
absorbing state,absorbing states,absorbing state(s)
absolute error,absolute errors,absolute error(s)
minimal modification,minimal modifications,minimal modification(s)
rank correlation,rank correlations,rank correlation(s)
programming formulation,programming formulations,programming formulation(s)
audio waveform,audio waveforms,audio waveform(s)
pearson correlation coefficient,pearson correlation coefficients,pearson correlation coefficient(s)
key driver,key drivers,key driver(s)
cumulative reward,cumulative rewards,cumulative reward(s)
darboux transformation,darboux transformations,darboux transformation(s)
gas phase transition,gas phase transitions,gas phase transition(s)
cataclysmic variable,cataclysmic variables,cataclysmic variable(s)
streaming data stream,streaming data streams,streaming data stream(s)
median value,median values,median value(s)
grain surface,grain surfaces,grain surface(s)
electron positron pair,electron positron pairs,electron positron pair(s)
preprocessing step,preprocessing steps,preprocessing step(s)
street network,street networks,street network(s)
vaccination rate,vaccination rates,vaccination rate(s)
thermoelectric material,thermoelectric materials,thermoelectric material(s)
video segment,video segments,video segment(s)
partially ordered set,partially ordered sets,partially ordered set(s)
astrophysical environment,astrophysical environments,astrophysical environment(s)
dilute gas,dilute gases,dilute gas(es)
queueing system,queueing systems,queueing system(s)
geometric phase transition,geometric phase transitions,geometric phase transition(s)
unique identifier,unique identifiers,unique identifier(s)
payoff function,payoff functions,payoff function(s)
digital forensic,digital forensics,digital forensic(s)
fairness metric,fairness metrics,fairness metric(s)
active site,active sites,active site(s)
concave function,concave functions,concave function(s)
spin orbit interaction,spin orbit interactions,spin orbit interaction(s)
polymer network,polymer networks,polymer network(s)
global attractor,global attractors,global attractor(s)
avoiding collision,avoiding collisions,avoiding collision(s)
phase shifter,phase shifters,phase shifter(s)
music genre,music genres,music genre(s)
vortex beam,vortex beams,vortex beam(s)
finsler metric,finsler metrics,finsler metric(s)
rapidity distribution,rapidity distributions,rapidity distribution(s)
killing vector,killing vectors,killing vector(s)
classical optimizer,classical optimizers,classical optimizer(s)
substantial difference,substantial differences,substantial difference(s)
scoring rule,scoring rules,scoring rule(s)
convex concave function,convex concave functions,convex concave function(s)
structural distortion,structural distortions,structural distortion(s)
earliest stage,earliest stages,earliest stage(s)
averaging operator,averaging operators,averaging operator(s)
regge trajectory,regge trajectories,regge trajectory(ies)
creation operator,creation operators,creation operator(s)
fine grained action,fine grained actions,fine grained action(s)
quotient singularity,quotient singularities,quotient singularity(ies)
nmr spectrum,nmr spectra,nmr spectrum (spectra)
nominal value,nominal values,nominal value(s)
contact binary,contact binaries,contact binary(ies)
treatment plan,treatment plans,treatment plan(s)
eye movement,eye movements,eye movement(s)
intensity fluctuation,intensity fluctuations,intensity fluctuation(s)
cascading failure,cascading failures,cascading failure(s)
echo chamber,echo chambers,echo chamber(s)
tidal disruption event,tidal disruption events,tidal disruption event(s)
sensory input,sensory inputs,sensory input(s)
mie resonance,mie resonances,mie resonance(s)
microfluidic device,microfluidic devices,microfluidic device(s)
photomultiplier tube,photomultiplier tubes,photomultiplier tube(s)
slow manifold,slow manifolds,slow manifold(s)
infrared divergence,infrared divergences,infrared divergence(s)
highly entangled state,highly entangled states,highly entangled state(s)
mutation operator,mutation operators,mutation operator(s)
anchor point,anchor points,anchor point(s)
regular polytope,regular polytopes,regular polytope(s)
hyperk ahler manifold,hyperk ahler manifolds,hyperk ahler manifold(s)
squeezing parameter,squeezing parameters,squeezing parameter(s)
surgical instrument,surgical instruments,surgical instrument(s)
dehn filling,dehn fillings,dehn filling(s)
cognitive map,cognitive maps,cognitive map(s)
holographic superconductor,holographic superconductors,holographic superconductor(s)
diffusion barrier,diffusion barriers,diffusion barrier(s)
voxel grid,voxel grids,voxel grid(s)
harsh environment,harsh environments,harsh environment(s)
millimeter wavelength,millimeter wavelengths,millimeter wavelength(s)
reaction diffusion process,reaction diffusion processes,reaction diffusion process(es)
empirical risk minimization problem,empirical risk minimization problems,empirical risk minimization problem(s)
pre processing pipeline,pre processing pipelines,pre processing pipeline(s)
pass filter,pass filters,pass filter(s)
functional programming language,functional programming languages,functional programming language(s)
spatial offset,spatial offsets,spatial offset(s)
strong inductive bias,strong inductive biases,strong inductive bias(es)
labor cost,labor costs,labor cost(s)
spectral bandwidth,spectral bandwidths,spectral bandwidth(s)
bellman operator,bellman operators,bellman operator(s)
gravitational wave function,gravitational wave functions,gravitational wave function(s)
core fiber,core fibers,core fiber(s)
cw complex,cw complexes,cw complex(es)
spline basis,spline bases,spline basis (bases)
constituent quark,constituent quarks,constituent quark(s)
stiffness matrix,stiffness matrices,stiffness matrix (matrices)
reasonable approximation,reasonable approximations,reasonable approximation(s)
radar communication,radar communications,radar communication(s)
burst frb source,burst frb sources,burst frb source(s)
baire space,baire spaces,baire space(s)
electromagnetic field strength,electromagnetic field strengths,electromagnetic field strength(s)
mean square error,mean square errors,mean square error(s)
jacobi identity,jacobi identities,jacobi identity(ies)
supervisory signal,supervisory signals,supervisory signal(s)
rigid transformation,rigid transformations,rigid transformation(s)
eddy current,eddy currents,eddy current(s)
passive scalar,passive scalars,passive scalar(s)
tetraquark state,tetraquark states,tetraquark state(s)
undesirable behavior,undesirable behaviors,undesirable behavior(s)
ferroelectric phase transition,ferroelectric phase transitions,ferroelectric phase transition(s)
additive manufacturing process,additive manufacturing processes,additive manufacturing process(es)
eclipsing binary system,eclipsing binary systems,eclipsing binary system(s)
graphical representation,graphical representations,graphical representation(s)
insulating substrate,insulating substrates,insulating substrate(s)
wireless communication cost,wireless communication costs,wireless communication cost(s)
answer span,answer spans,answer span(s)
packing density,packing densities,packing density(ies)
controlled trial,controlled trials,controlled trial(s)
